gran,n_b,m_b,work,aspect,cost_A_outer_s,cost_B_outer_s,flip,orientation_speedup
medium,1101,536,590136,2.0541044776119404,6681.92,7033.6,False,1.0526315789473684
medium,1099,541,594559,2.0314232902033273,6681.92,7033.6,False,1.0526315789473684
medium,1099,544,597856,2.020220588235294,6681.92,7033.6,False,1.0526315789473684
medium,1098,514,564372,2.1361867704280155,6330.24,6681.92,False,1.0555555555555556
medium,1094,517,565598,2.11605415860735,6330.24,6681.92,False,1.0555555555555556
medium,1093,546,596778,2.001831501831502,6681.92,7033.6,False,1.0526315789473684
medium,1091,537,585867,2.031657355679702,6681.92,6330.24,True,1.0555555555555556
medium,1090,525,572250,2.0761904761904764,6330.24,6330.24,False,1.0
medium,1090,525,572250,2.0761904761904764,6330.24,6330.24,False,1.0
medium,1083,498,539334,2.174698795180723,5978.56,5978.56,False,1.0
medium,1082,517,559394,2.09284332688588,6330.24,6330.24,False,1.0
medium,1082,531,574542,2.0376647834274952,6681.92,6330.24,True,1.0555555555555556
medium,1080,531,573480,2.0338983050847457,6330.24,6330.24,False,1.0
medium,1077,520,560040,2.0711538461538463,6330.24,6330.24,False,1.0
medium,1073,524,562252,2.0477099236641223,6330.24,6330.24,False,1.0
medium,1071,524,561204,2.0438931297709924,6330.24,6330.24,False,1.0
medium,1067,504,537768,2.117063492063492,5978.56,5978.56,False,1.0
medium,1067,520,554840,2.0519230769230767,6330.24,6330.24,False,1.0
medium,1067,530,565510,2.013207547169811,6330.24,6330.24,False,1.0
medium,1067,520,554840,2.0519230769230767,6330.24,6330.24,False,1.0
medium,1065,530,564450,2.009433962264151,6330.24,6330.24,False,1.0
medium,1059,523,553857,2.024856596558317,6330.24,6330.24,False,1.0
medium,1059,517,547503,2.0483558994197293,6330.24,6330.24,False,1.0
medium,1056,516,544896,2.046511627906977,6330.24,6330.24,False,1.0
medium,1055,521,549655,2.0249520153550864,6330.24,6330.24,False,1.0
medium,1055,497,524335,2.1227364185110664,5978.56,5978.56,False,1.0
medium,1053,506,532818,2.08102766798419,5978.56,5978.56,False,1.0
medium,1048,519,543912,2.019267822736031,5978.56,6330.24,False,1.0588235294117645
medium,1047,517,541299,2.025145067698259,5978.56,6330.24,False,1.0588235294117645
medium,1045,522,545490,2.0019157088122603,5978.56,6330.24,False,1.0588235294117645
medium,1044,508,530352,2.0551181102362204,5978.56,5978.56,False,1.0
medium,1040,511,531440,2.035225048923679,5978.56,6330.24,False,1.0588235294117645
medium,1039,518,538202,2.005791505791506,5978.56,6330.24,False,1.0588235294117645
